;Instituição;201503;201603;201703;201802
2;Rio de Janeiro;44,26;49,04;52,88;51,19
3;São Gonçalo;58,68;57,3;56,69;53,97
4;Duque de Caxias;58,49;58,52;59,66;60,07
5;Nova Iguaçu;53,67;48,98;53,65;49,75
6;Niterói;47,27;45,9;41,19;36,41
7;Belford Roxo;57,26;67,26;52,74;53,87
8;Campos dos Goytacazes;45,82;53,87;53,17;49,28
9;São João de Meriti;54,12;53,5;63,86;61,15
10;Petrópolis;50,09;50,18;51,64;44,37
11;Volta Redonda;47,74;54,89;51,94;49,63
12;Macaé;54,85;57,43;56,67;56,4
13;Magé;53,77;60,28;52,85;55,65
14;Itaboraí;47,17;56,96;55,65;53,67
15;Cabo Frio;67,54;46,9;66,5;67,09
16;Angra dos Reis;53,54;52,52;46,78;43,96
17;Nova Friburgo;50,6;48,86;47,68;47,81
18;Barra Mansa;44,74;46,2;46,74;43,64
19;Teresópolis;53,23;47,32;41,74;55,04
20;Mesquita;37,68;29,07;53,43;45,74
21;Nilópolis;43,87;44,38;45,55;42,89
22;Maricá;36,25;38,59;27,61;22,52
23;Queimados;48,3;49,47;53,39;50,72
24;Rio das Ostras;47,58;50,06;42,27;43,07
25;Resende;57,24;50,44;50,09;50,04
26;Araruama;56,32;61,22;53,11;48,95
27;Itaguaí;64,76;81,32;82,36;67,45
28;Japeri;51,72;39,91;53,52;53,11
29;Itaperuna;40,95;37,67;43,82;45,88
30;São Pedro da Aldeia;56,22;55,28;50,57;49,42
31;Barra do Piraí;45,88;42,33;43,69;42,22
32;Saquarema;46,62;50,37;46,35;40,71
33;Três Rios;48,4;45,52;53,97;53,45
34;Valença;53,44;47,98;44,09;42,42
35;Rio Bonito;41,17;47,83;52,29;56,74
36;Guapimirim;53,46;56,55;52,44;53,28
37;Cachoeiras de Macacu;52,49;55,99;51,92;53
38;Paracambi;51;49,75;41,98;37,84
39;Paraíba do Sul;53,51;58,85;69,06;60,51
40;Mangaratiba;51,06;53,3;50,44;55,22
41;São Francisco de Itabapoana;56,25;53,87;59,34;54,21
42;Casimiro de Abreu;48,2;50,75;48,52;44,37
43;Paraty;53,55;39,33;41,18;35,9
44;São Fidélis;51,32;48,41;53,44;52,09
45;Bom Jesus do Itabapoana;53,26;53,87;62,15;54,21
46;São João da Barra;53,02;68,62;47,68;43,46
47;Armação de Búzios;57,75;51,5;51,3;45,32
48;Arraial do Cabo;56,06;57,93;66,34;46,81
49;Paty do Alferes;55,41;49,51;47,48;46,88
50;Iguaba Grande;54,37;49,68;54,2;54,49
51;Bom Jardim;50,09;52,11;53,32;46,29
52;Miguel Pereira;49,35;53,12;54,57;44,77
53;Pinheiral;59,03;51,23;54,98;51,33
54;Quissamã;57,78;59,1;50,16;48,76
55;Itaocara;61,36;52,93;56,74;48,13
56;Conceição de Macabu;50,5;53,92;48,21;43,75
57;Silva Jardim;52,63;54,14;53,21;51,13
58;São José do Vale do Rio Preto;53,98;59,33;60,52;49,51
59;Cantagalo;53,92;60,34;52,5;52,49
60;Porciúncula;56,25;52,86;57;46,35
61;Mendes;48,91;47,23;51,05;51,1
62;Rio Claro;54,63;51,88;61,92;58,28
63;Sapucaia;50,73;52,81;50,6;48,4
64;Carapebus;61,14;61,11;64,76;63,21
65;Sumidouro;57,87;54,73;55,28;48,07
66;Cambuci;47,36;49,38;52,18;50,03
67;Italva;58,35;54,21;48,3;48,32
68;Engenheiro Paulo de Frontin;69,98;62,23;63,33;54,14
69;Cardoso Moreira;53,47;50,2;51,38;51,55
70;Areal;60,76;56,5;54;52,21
71;Aperibé;43,26;55,05;46,28;42,98
72;Varre-Sai;61,74;59,36;65,83;52,71
73;Santa Maria Madalena;49,81;57,74;53,89;47,87
74;São Sebastião do Alto;58,28;52,96;51,15;52,56
75;Rio das Flores;46,91;49,78;48,83;35,92
76;Comendador Levy Gasparian;52,75;63,47;52,09;49,19
77;São José de Ubá;47,41;47,8;46,91;44,45
78;Macuco;52,98;55,65;46,07;42,62
79;Carmo;48,79;57,01;56,95;45,43
80;Cordeiro;57,91;46,69;46,67;52,08
81;Duas Barras;57,36;55,77;52,11;51,73
82;Itatiaia;45;48,16;51,44;47,41
83;Laje do Muriaé;53,6;50,13;52,67;51,66
84;Miracema;50,96;49,41;58,55;53,91
85;Natividade;45,72;47,83;48,37;48,39
86;Porto Real;46,14;49,95;45,46;46,23
87;Quatis;51,53;48,18;49,55;48,18
88;Santo Antônio de Pádua;46,13;50,15;51,23;47,56
89;Seropédica;52,53;63,12;53,08;53,69
90;Tanguá;53,61;52,89;53,66;52,66
91;Trajano de Morais;51,3;58,08;51,26;49,2
92;Vassouras;50,54;51,79;48,4;41,31
93;Piraí;47,47;44,01;46,08;43,97
